2025-10-30 05:56:45 startup archives unpack
2025-10-30 05:56:45 install iputils-ping:amd64 <none> 3:20211215-1ubuntu0.1
2025-10-30 05:56:45 status half-installed iputils-ping:amd64 3:20211215-1ubuntu0.1
2025-10-30 05:56:45 status unpacked iputils-ping:amd64 3:20211215-1ubuntu0.1
2025-10-30 05:56:45 startup packages configure
2025-10-30 05:56:45 configure iputils-ping:amd64 3:20211215-1ubuntu0.1 <none>
2025-10-30 05:56:45 status unpacked iputils-ping:amd64 3:20211215-1ubuntu0.1
2025-10-30 05:56:45 status half-configured iputils-ping:amd64 3:20211215-1ubuntu0.1
2025-10-30 05:56:45 status installed iputils-ping:amd64 3:20211215-1ubuntu0.1
2025-11-04 08:45:52 startup archives unpack
2025-11-04 08:45:52 install less:amd64 <none> 590-1ubuntu0.22.04.3
2025-11-04 08:45:52 status half-installed less:amd64 590-1ubuntu0.22.04.3
2025-11-04 08:45:52 status unpacked less:amd64 590-1ubuntu0.22.04.3
2025-11-04 08:45:52 install libmagic-mgc:amd64 <none> 1:5.41-3ubuntu0.1
2025-11-04 08:45:52 status half-installed libmagic-mgc:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:52 status unpacked libmagic-mgc:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:53 install libmagic1:amd64 <none> 1:5.41-3ubuntu0.1
2025-11-04 08:45:53 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.11
2025-11-04 08:45:53 status half-installed libmagic1:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:53 status unpacked libmagic1:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:53 install file:amd64 <none> 1:5.41-3ubuntu0.1
2025-11-04 08:45:53 status half-installed file:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:53 status unpacked file:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:53 install libcbor0.8:amd64 <none> 0.8.0-2ubuntu1
2025-11-04 08:45:53 status half-installed libcbor0.8:amd64 0.8.0-2ubuntu1
2025-11-04 08:45:53 status unpacked libcbor0.8:amd64 0.8.0-2ubuntu1
2025-11-04 08:45:54 install libedit2:amd64 <none> 3.1-20210910-1build1
2025-11-04 08:45:54 status half-installed libedit2:amd64 3.1-20210910-1build1
2025-11-04 08:45:54 status unpacked libedit2:amd64 3.1-20210910-1build1
2025-11-04 08:45:54 install libfido2-1:amd64 <none> 1.10.0-1
2025-11-04 08:45:54 status half-installed libfido2-1:amd64 1.10.0-1
2025-11-04 08:45:54 status unpacked libfido2-1:amd64 1.10.0-1
2025-11-04 08:45:54 install libuv1:amd64 <none> 1.43.0-1ubuntu0.1
2025-11-04 08:45:54 status half-installed libuv1:amd64 1.43.0-1ubuntu0.1
2025-11-04 08:45:54 status unpacked libuv1:amd64 1.43.0-1ubuntu0.1
2025-11-04 08:45:54 install libxext6:amd64 <none> 2:1.3.4-1build1
2025-11-04 08:45:54 status half-installed libxext6:amd64 2:1.3.4-1build1
2025-11-04 08:45:54 status unpacked libxext6:amd64 2:1.3.4-1build1
2025-11-04 08:45:54 install libxmuu1:amd64 <none> 2:1.1.3-3
2025-11-04 08:45:54 status half-installed libxmuu1:amd64 2:1.1.3-3
2025-11-04 08:45:54 status unpacked libxmuu1:amd64 2:1.1.3-3
2025-11-04 08:45:54 install openssh-client:amd64 <none> 1:8.9p1-3ubuntu0.13
2025-11-04 08:45:54 status half-installed openssh-client:amd64 1:8.9p1-3ubuntu0.13
2025-11-04 08:45:54 status unpacked openssh-client:amd64 1:8.9p1-3ubuntu0.13
2025-11-04 08:45:54 install xauth:amd64 <none> 1:1.1-1build2
2025-11-04 08:45:54 status half-installed xauth:amd64 1:1.1-1build2
2025-11-04 08:45:54 status unpacked xauth:amd64 1:1.1-1build2
2025-11-04 08:45:54 install libsigsegv2:amd64 <none> 2.13-1ubuntu3
2025-11-04 08:45:54 status half-installed libsigsegv2:amd64 2.13-1ubuntu3
2025-11-04 08:45:55 status unpacked libsigsegv2:amd64 2.13-1ubuntu3
2025-11-04 08:45:55 install m4:amd64 <none> 1.4.18-5ubuntu2
2025-11-04 08:45:55 status half-installed m4:amd64 1.4.18-5ubuntu2
2025-11-04 08:45:55 status unpacked m4:amd64 1.4.18-5ubuntu2
2025-11-04 08:45:55 install autoconf:all <none> 2.71-2
2025-11-04 08:45:55 status half-installed autoconf:all 2.71-2
2025-11-04 08:45:55 status unpacked autoconf:all 2.71-2
2025-11-04 08:45:55 install autotools-dev:all <none> 20220109.1
2025-11-04 08:45:55 status half-installed autotools-dev:all 20220109.1
2025-11-04 08:45:55 status unpacked autotools-dev:all 20220109.1
2025-11-04 08:45:55 install automake:all <none> 1:1.16.5-1.3
2025-11-04 08:45:55 status half-installed automake:all 1:1.16.5-1.3
2025-11-04 08:45:55 status unpacked automake:all 1:1.16.5-1.3
2025-11-04 08:45:55 install libarchive13:amd64 <none> 3.6.0-1ubuntu1.5
2025-11-04 08:45:55 status half-installed libarchive13:amd64 3.6.0-1ubuntu1.5
2025-11-04 08:45:55 status unpacked libarchive13:amd64 3.6.0-1ubuntu1.5
2025-11-04 08:45:55 install libjsoncpp25:amd64 <none> 1.9.5-3
2025-11-04 08:45:55 status half-installed libjsoncpp25:amd64 1.9.5-3
2025-11-04 08:45:55 status unpacked libjsoncpp25:amd64 1.9.5-3
2025-11-04 08:45:55 install librhash0:amd64 <none> 1.4.2-1ubuntu1
2025-11-04 08:45:55 status half-installed librhash0:amd64 1.4.2-1ubuntu1
2025-11-04 08:45:55 status unpacked librhash0:amd64 1.4.2-1ubuntu1
2025-11-04 08:45:55 install dh-elpa-helper:all <none> 2.0.9ubuntu1
2025-11-04 08:45:55 status half-installed dh-elpa-helper:all 2.0.9ubuntu1
2025-11-04 08:45:55 status unpacked dh-elpa-helper:all 2.0.9ubuntu1
2025-11-04 08:45:56 install emacsen-common:all <none> 3.0.4
2025-11-04 08:45:56 status half-installed emacsen-common:all 3.0.4
2025-11-04 08:45:56 status unpacked emacsen-common:all 3.0.4
2025-11-04 08:45:56 install cmake-data:all <none> 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:56 status half-installed cmake-data:all 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:57 status unpacked cmake-data:all 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:57 install cmake:amd64 <none> 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:57 status half-installed cmake:amd64 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:57 status unpacked cmake:amd64 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:57 install curl:amd64 <none> 7.81.0-1ubuntu1.21
2025-11-04 08:45:57 status half-installed curl:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:45:57 status unpacked curl:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:45:58 install libcurl3-gnutls:amd64 <none> 7.81.0-1ubuntu1.21
2025-11-04 08:45:58 status half-installed libcurl3-gnutls:amd64 7.81.0-1ubuntu1.21
